File: 	C:\Users\Johns\OneDrive\Pictures\Documents\FLIR\photo line 4.jpg																																															
																																																
Li1							Distance	50.35	mm																																							
																																																
Frame 1	429.949	419.423	409.444	405.08	401.96	398.767	395.743	393.026	390.361	387.853	385.323	383.03	380.761	378.648	376.755	374.54	372.811	370.827	369.091	367.26	365.757	364	362.46	360.935	359.497	358.379	357.152	355.841	354.709	353.437	351.831	350.701	349.766	348.787	347.851	346.821	345.706	345.2	344.183	343.662	342.575	341.958	341.267	340.358	339.393	335.986	332.166	328.887
