File: 	C:\Users\Johns\OneDrive\Pictures\Documents\FLIR\area photo.jpg																																					
																																						
Bx1							Distnace	50.35		D2	31.66			area	1594.081																							
																																						
Frame 1	326.289	332.608	331.451	329.152	331.505	328.81	331.418	330.12	329.879	331.863	329.263	331.971	330.918	330.601	331.82	330.492	331.668	331.429	331.928	331.885	331.69	332.133	332.144	332.22	331.624	332.63	332.565	332.047	332.802	331.386	332.5	333.735	336.08	336.92	336.826	336.837	336.354	335.595
	327.722	333.639	332.198	329.988	331.809	330.765	332.317	332.036	332.393	332.888	332.619	334.045	332.845	334.408	333.703	333.703	335.31	333.553	335.912	334.758	334.843	336.532	335.024	336.375	336.228	335.69	337.088	336.017	336.669	337.035	336.364	336.826	337.547	337.652	337.474	337.412	336.837	336.238
	329.196	334.748	333.735	334.024	336.133	334.471	336.92	336.112	336.753	337.86	337.035	338.68	338.265	338.887	339.197	338.98	339.475	339.434	339.64	339.989	339.763	340.071	339.948	339.907	340.112	339.815	339.907	339.753	339.65	339.671	338.876	338.628	338.41	338.39	338.182	337.725	337.589	336.889
	330.95	335.996	337.797	338.628	339.496	339.547	339.866	340.205	340.45	340.635	340.757	341.104	341.125	341.288	341.46	341.572	341.582	341.43	341.501	341.43	341.542	341.491	341.328	341.196	341.247	341.053	341.043	340.573	340.368	340.45	339.969	339.341	339.083	339.042	339.083	338.525	338.234	337.568
	332.425	337.224	338.99	340.071	340.491	340.9	341.094	341.399	341.572	341.684	341.958	342.029	342.08	342.272	342.393	342.221	342.343	342.393	342.353	342.363	342.221	342.181	342.161	342.1	342.059	342.029	341.775	341.349	341.369	341.094	340.502	340.112	339.845	339.773	339.588	339.197	338.928	338.286
	333.682	337.891	339.969	340.9	340.972	341.948	341.948	342.07	342.424	342.747	342.848	342.817	343.019	342.918	342.908	343.13	342.949	343.11	343.1	342.908	342.908	343.019	342.797	342.888	342.626	342.696	342.525	342.1	342.029	341.796	341.308	340.767	340.696	340.44	340.461	340.153	339.804	339.031
	335.183	338.742	340.859	341.775	342.029	342.363	342.686	342.737	342.898	343.301	343.522	343.682	343.482	343.692	343.622	343.793	343.873	343.793	343.542	343.823	343.702	343.883	343.763	343.642	343.512	343.391	343.23	342.989	342.707	342.676	342.039	341.735	341.237	341.389	341.084	340.982	340.502	339.938
	336.175	340.01	341.775	342.353	342.888	343.24	343.311	343.582	343.913	344.053	344.283	344.313	344.413	344.622	344.473	344.682	344.672	344.533	344.592	344.553	344.533	344.722	344.303	344.473	344.263	343.983	343.923	343.431	343.462	343.371	342.797	342.494	342.191	342.181	342.161	341.715	341.175	340.747
	337.725	340.839	342.444	343.371	343.712	344.073	344.203	344.363	344.563	344.612	345.021	345.021	345.001	345.041	345.428	345.309	345.18	345.259	345.239	345.319	345.239	345.378	345.12	345.041	345.001	344.672	344.602	344.523	344.233	344.173	343.642	343.271	343.069	342.949	342.686	342.383	342.049	341.328
	339.238	341.775	343.462	344.173	344.712	344.812	345.259	345.19	345.537	345.834	345.904	346.111	346.17	345.904	346.131	346.397	346.427	346.17	346.309	346.348	346.18	346.22	346.161	345.963	346.072	345.854	345.854	345.388	345.269	344.921	344.513	344.233	343.943	343.893	343.642	343.552	342.868	342.323
