Node Name,Mass
BATTERY.1,0.0009764955
BATTERY.10,0.0009764955
BATTERY.11,0.001952991
BATTERY.12,0.0009764955
BATTERY.13,0.001952991
BATTERY.14,0.003905982
BATTERY.15,0.001952991
BATTERY.16,0.0009764955
BATTERY.17,0.001952991
BATTERY.18,0.0009764955
BATTERY.2,0.001952991
BATTERY.3,0.0009764955
BATTERY.4,0.001952991
BATTERY.5,0.003905982
BATTERY.6,0.001952991
BATTERY.7,0.0009764955
BATTERY.8,0.001952991
BATTERY.9,0.0009764955
FRAME.1,0.0009231111
FRAME.10,0.003692444
FRAME.100,0.0008085
FRAME.101,0.001617
FRAME.102,0.001617
FRAME.103,0.001617
FRAME.104,0.001617
FRAME.105,0.001617
FRAME.106,0.001617
FRAME.107,0.0008085
FRAME.108,0.0008085
FRAME.109,0.0008085
FRAME.11,0.003692444
FRAME.110,0.0024
FRAME.111,0.001617
FRAME.112,0.001617
FRAME.113,0.001617
FRAME.114,0.001617
FRAME.115,0.0012
FRAME.116,0.0008085
FRAME.117,0.0008085
FRAME.118,0.0008085
FRAME.119,0.0008085
FRAME.12,0.001846222
FRAME.120,0.0024
FRAME.121,0.001617
FRAME.122,0.001617
FRAME.123,0.001617
FRAME.124,0.001617
FRAME.125,0.0048
FRAME.126,0.003234
FRAME.127,0.003234
FRAME.128,0.003234
FRAME.129,0.003234
FRAME.13,0.0009231111
FRAME.130,0.0048
FRAME.131,0.003234
FRAME.132,0.003234
FRAME.133,0.003234
FRAME.134,0.003234
FRAME.135,0.0024
FRAME.136,0.001617
FRAME.137,0.001617
FRAME.138,0.001617
FRAME.139,0.001617
FRAME.14,0.001846222
FRAME.140,0.0024
FRAME.141,0.001617
FRAME.142,0.001617
FRAME.143,0.001617
FRAME.144,0.001617
FRAME.15,0.001846222
FRAME.16,0.0009231111
FRAME.17,0.001617
FRAME.18,0.003234
FRAME.19,0.003234
FRAME.2,0.001846222
FRAME.20,0.001617
FRAME.21,0.001617
FRAME.22,0.003234
FRAME.23,0.003234
FRAME.24,0.001617
FRAME.25,0.0008085
FRAME.26,0.001617
FRAME.27,0.001617
FRAME.28,0.0008085
FRAME.29,0.0012
FRAME.3,0.001846222
FRAME.30,0.0008085
FRAME.31,0.0008085
FRAME.32,0.0008085
FRAME.33,0.0008085
FRAME.34,0.0048
FRAME.35,0.003234
FRAME.36,0.003234
FRAME.37,0.003234
FRAME.38,0.003234
FRAME.39,0.0048
FRAME.4,0.0009231111
FRAME.40,0.003234
FRAME.41,0.003234
FRAME.42,0.003234
FRAME.43,0.003234
FRAME.44,0.0024
FRAME.45,0.001617
FRAME.46,0.001617
FRAME.47,0.001617
FRAME.48,0.001617
FRAME.49,0.0012
FRAME.5,0.001846222
FRAME.50,0.001617
FRAME.51,0.001617
FRAME.52,0.001617
FRAME.53,0.001617
FRAME.54,0.0024
FRAME.55,0.003234
FRAME.56,0.003234
FRAME.57,0.003234
FRAME.58,0.003234
FRAME.59,0.0024
FRAME.6,0.003692444
FRAME.60,0.003234
FRAME.61,0.003234
FRAME.62,0.003234
FRAME.63,0.003234
FRAME.64,0.0012
FRAME.65,0.001617
FRAME.66,0.001617
FRAME.67,0.001617
FRAME.68,0.001617
FRAME.69,0.001617
FRAME.7,0.003692444
FRAME.70,0.001617
FRAME.71,0.001617
FRAME.72,0.003234
FRAME.73,0.003234
FRAME.74,0.003234
FRAME.75,0.003234
FRAME.76,0.003234
FRAME.77,0.003234
FRAME.78,0.0024
FRAME.79,0.001617
FRAME.8,0.001846222
FRAME.80,0.001617
FRAME.81,0.001617
FRAME.82,0.001617
FRAME.83,0.001617
FRAME.84,0.001617
FRAME.85,0.001617
FRAME.86,0.001617
FRAME.87,0.001617
FRAME.88,0.001617
FRAME.89,0.003234
FRAME.9,0.001846222
FRAME.90,0.003234
FRAME.91,0.003234
FRAME.92,0.003234
FRAME.93,0.003234
FRAME.94,0.003234
FRAME.95,0.001617
FRAME.96,0.001617
FRAME.97,0.001617
FRAME.98,0.0008085
FRAME.99,0.0008085
MAIN.1,0.0003414338
MAIN.10,0.003692444
MAIN.100,0.001153889
MAIN.101,0.001846222
MAIN.102,0.0006828677
MAIN.103,0.0006828677
MAIN.104,0.0006828677
MAIN.105,0.001846222
MAIN.106,0.001846222
MAIN.107,0.001846222
MAIN.108,0.001846222
MAIN.109,0.001846222
MAIN.11,0.0006828677
MAIN.110,0.002069333
MAIN.111,0.001846222
MAIN.112,0.001846222
MAIN.113,0.001846222
MAIN.114,0.001846222
MAIN.115,0.001153889
MAIN.116,0.001846222
MAIN.117,0.0009231111
MAIN.118,0.0009231111
MAIN.119,0.0009231111
MAIN.12,0.001846222
MAIN.120,0.0009231111
MAIN.121,0.0009231111
MAIN.122,0.001034667
MAIN.123,0.0009231111
MAIN.124,0.0009231111
MAIN.125,0.0009231111
MAIN.126,0.0009231111
MAIN.127,0.0005769445
MAIN.128,0.0009231111
MAIN.129,0.0006828677
MAIN.13,0.0006828677
MAIN.130,0.0006828677
MAIN.131,0.0006828677
MAIN.132,0.001846222
MAIN.133,0.001846222
MAIN.134,0.001846222
MAIN.135,0.001846222
MAIN.136,0.001846222
MAIN.137,0.002069333
MAIN.138,0.001846222
MAIN.139,0.001846222
MAIN.14,0.0006828677
