0,270,274,274,276,0
0.5,269.998770237342,275.224820191115,270.403896556773,275.853691832858,3
1,269.998292979591,276.397531209416,269.604480425889,275.441230494644,3
1.5,269.998535625662,277.545662050824,269.184180598059,274.999009458832,3
2,269.999482491886,278.673144969638,268.819451944568,274.558584865002,3
2.5,270.001120320319,279.780790977003,268.466667146522,274.124105571554,3
3,270.003436361699,280.868988645769,268.119865235779,273.696033018442,3
3.5,270.006418115841,281.938065840978,267.778166117039,273.274332979889,3
4,270.010053294178,282.98833839861,267.441377311803,272.858905970533,3
4.5,270.0143298122,284.020116709402,267.10940066545,272.449645353236,3
5,270.019235785941,285.033706632919,266.78215208475,272.04644517069,3
5.5,270.024759529033,286.029409647889,266.459550644104,271.649201177788,3
6,270.030889549847,287.007522900528,266.141517085429,271.257810953518,3
6.5,270.037614548671,287.968339240189,265.827973592262,270.872173888446,3
7,270.044923414916,288.912147254327,265.518843737308,270.492191155743,3
7.5,270.052805224336,289.839231304322,265.214052453963,270.117765680399,3
8,270.061249236282,290.749871562304,264.913526011503,269.748802108635,3
8.5,270.070244890975,290.383717988465,269.249803712932,269.385206777752,0
9,270.07900836326,290.052586682788,270.003700818782,269.384342294646,0
9.5,270.087561334984,289.732002014004,270.171688561449,269.441715793708,0
10,270.095910453087,289.41783015191,270.243429535972,269.507610720992,0
10.5,270.104059822682,289.109311724502,270.298756107863,269.573941087599,0
11,270.112013079549,288.806240502109,270.350688501182,269.639406648021,0
11.5,270.119773729899,288.508501969919,270.401360594931,269.703812439956,0
12,270.127345206756,288.21599804758,270.451132525181,269.767143241933,0
12.5,270.134730880097,287.92863479013,270.500075259442,269.829412798869,0
13,270.141934059446,287.64632035564,270.548212436904,269.89063926774,0
13.5,270.148957995212,287.368964646644,270.595559765324,269.950841224224,0
14,270.155805879808,287.096479224889,270.642131442085,270.010037018297,0
14.5,270.162480848721,288.098995375755,265.856495107419,270.068244675161,3
15,270.169765310192,289.042253802027,264.941099443422,269.752685118136,3
15.5,270.177622396743,288.704897689922,269.205027482143,269.390916830054,0
16,270.185265921432,288.4016262983,269.943859317045,269.38615544475,0
16.5,270.192716975353,288.108333552082,270.106317858239,269.438771209957,0
17,270.199981841918,287.820955880272,270.174162948324,269.49985000613,0
17.5,270.207064306122,287.538752994339,270.225924005644,269.561436391744,0
18,270.213967695602,287.261529108967,270.274405729882,269.622250028526,0
18.5,270.220695215089,286.989178586251,270.321705424452,269.682097690661,0
19,270.227250001824,286.721611826678,270.368176097027,269.740962936575,0
19.5,270.23363513545,286.458743166163,270.413886448022,269.798857835486,0
20,270.23985364048,286.200488878766,270.458858669432,269.855798823434,0
20.5,270.245908487527,285.946766826599,270.503107177369,269.911802776693,0
21,270.251802594328,285.697496378607,270.546644923601,269.9668863777,0
21.5,270.257538826706,285.452598373633,270.589484427148,270.021066017074,0
22,270.263119999523,286.479798054283,265.786122259328,270.074357782804,3
22.5,270.26932672446,287.447197411635,264.865090324939,269.752895080308,3
23,270.276121787612,287.136000342065,269.136670889435,269.385245640476,0
23.5,270.282720227002,286.85852109149,269.873779721497,269.375648764946,0
24,270.289142894479,286.590578145521,270.033121062757,269.423670349019,0
24.5,270.295395788123,286.328102847615,270.097693386771,269.480270019393,0
25,270.301482404713,286.070361059062,270.146215631674,269.537471425941,0
25.5,270.307405787681,285.81716475923,270.191520505098,269.593989563509,0
26,270.313168862555,285.56841619403,270.235708539641,269.649629061717,0
26.5,270.318774492442,285.324033538488,270.279132193697,269.704371749576,0
27,270.32422548785,285.08393876115,270.321859060044,269.758228058358,0
27.5,270.329524609061,284.848055624328,270.363910157477,269.811212827468,0
28,270.334674567275,284.616309336096,270.405298738293,269.863341369592,0
28.5,270.339678025535,284.388626471822,270.446036610896,269.9146288348,0
29,270.344537599608,284.164934940036,270.486135172671,269.965090111723,0
29.5,270.349255858842,283.945163955949,270.525605581516,270.014739816066,0
30,270.353835327005,284.994782403993,265.706441251358,270.063592293264,3
30.5,270.359054940566,285.984115398158,264.780359454666,269.736814591243,3
31,270.364877175677,285.69675657343,269.0586576888,269.363871871874,0
31.5,270.370518226889,285.442778800286,269.794186800601,269.349909744293,0
32,270.375998726536,285.197934997303,269.950711705275,269.393782045707,0
32.5,270.381324413138,284.958152309214,270.012330040201,269.446336261594,0
33,270.386498521554,284.722702218676,270.057929494166,269.499577392122,0
33.5,270.391523836961,284.491403737141,270.100367802828,269.552216246769,0
34,270.396403031162,284.264166243845,270.141748392468,269.604055524896,0
34.5,270.401138718128,284.040914948089,270.182423225099,269.655075497934,0
35,270.405733463752,283.821578725029,270.222458893558,269.705285121826,0
35.5,270.410189788147,283.606088113749,270.261875356993,269.754697797678,0
36,270.414510166695,283.394374971149,270.300684816271,269.80332742944,0
36.5,270.418697030902,283.186372395924,270.33889804665,269.851187786346,0
37,270.422752769191,282.982014696924,270.376525431867,269.898292403348,0
37.5,270.426679727683,282.781237369133,270.413577135509,269.944654569033,0
38,270.430480210958,282.583977071252,270.450063131865,269.990287327708,0
38.5,270.434156482806,282.390171603917,270.48599321386,270.035203483696,0
39,270.43771076696,283.463021047743,265.649623449207,270.079415605923,3
39.5,270.441920308101,284.475071626821,264.718140277731,269.747029122889,3
40,270.446747254657,284.212337692152,269.004013399252,269.368494957695,0
40.5,270.451408958937,283.982645508796,269.737952822854,269.349958632564,0
41,270.455925831781,283.761673725877,269.891523162543,269.389488108635,0
41.5,270.460303344828,283.545344080734,269.950032167027,269.437807649093,0
42,270.464544462962,283.332933657192,269.992552650252,269.486901941752,0
